;title;Marca;Preco_Normal;Preco_Desconto;Preco_Anterior;Desconto;Categoria
0;Pack 12 un, Leche extra proteína 1 L;Loncoleche;19788;19688;19588;100;lacteos
1;Pack 12 un, Leche chocolate receta original 1 L;Soprole;18228;18128;18028;100;lacteos
2;Pack 12 un, Leche semidescremada chocolate 1 L;Soprole;18228;18128;18028;100;lacteos
3;Pack 12 un, Leche semidescremada frutilla 1 L;Soprole;18228;18128;18028;100;lacteos
4;Pack 12 un, Leche sin lactosa chocolate 1 L;Loncoleche;17988;19888;19788;100;lacteos
5;Pack 12 un, Leche sin lactosa frutilla 1 L;Loncoleche;17988;19888;19788;100;lacteos
6;Pack 12 un, Leche saborizada light chocolate 1 L;Loncoleche;17988;19888;19788;100;lacteos
7;Pack 12 un, Leche saborizada frutilla 1 L;Colun;17388;17288;17188;100;lacteos
8;Pack 12 un, Leche saborizada vainilla 1 L;Colun;17388;17288;17188;100;lacteos
9;Pack 12 un, Leche saborizada manjar 1 L;Colun;17388;17288;17188;100;lacteos
